event_id,package_id,order_id,event_time,status,city
D2001,PK9001,O5001,2026-01-02 14:20,DELIVERED,Addis
D2002,PK9002,O5002,2026-01-03 16:10,DELIVERED,Addis
D2003,PK9003,O5003,2026-01-06 09:00,DELIVERED,Adama
D2004,PK9004,O5004,2026-01-06 18:30,DELIVERED,Addis
D2005,PK9005,O5005,2026-01-07 15:10,DELIVERED,BahirDar
D2006,PK9006,O5006,2026-02-01 10:05,DELIVERED,Addis
D2007,PK9007,O5007,2026-01-12 17:00,DELIVERED,Addis
D2008,PK9008,O5008,2026-01-15 13:45,DELIVERED,Addis
D2009,PK9009,O5009,2026-01-19 11:22,DELIVERED,Adama
D2010,PK9010,O5010,2026-01-20 16:00,DELIVERED,Addis
D2011,PK9011,O5011,2026-01-22 18:00,DELIVERED,Addis
D2012,PK9012,O5012,2026-01-23 15:40,DELIVERED,Hawassa
D2013,PK9013,O5013,2026-01-24 12:00,DELIVERED,Addis
D2014,PK9014,O5014,2026-01-26 09:10,DELIVERED,Addis
D2015,PK9015,O5015,2026-01-26 17:50,DELIVERED,Addis
D2016,PK9016,O5016,2026-01-29 14:10,FAILED,Addis
D2017,PK9017,O5017,2026-01-29 19:00,FAILED,Addis
D2018,PK9018,O5018,2026-02-02 11:00,DELIVERED,Addis
D2019,PK9019,O5019,2026-02-03 16:40,DELIVERED,Addis
D2020,PK9020,O5020,2026-01-31 15:00,RETURNED,Addis
D2021,PK9024,O5024,2026-01-13 12:00,DELIVERED,Addis